,lemma.o,lemma.c.x,lemma.c.y,unlist.sent.cr.,n
119,nachen,,nacht,"1260oder ist mein freund, entweder auch, ein letzter hauch, dann rauschen, gute nacht.",
120,neckisch,,neckisch,"1208sie rufen einander unverwandt an, neckisch, phonetisch und auch in größter not.",
121,nieten,,not,"234liebe hier gemeint als donut, also known as: du not go.	1179false cognates have a name, have they not?",
122,nuts,,nuts,240or i'll go nuts.,
123,oops,,oops,"1485oops, da ist es aus.",
124,orang,,orange,"2080im disseits finden den dunst, im dunst dioxin, im dioxin die gitter der sprache (agent orange, love canal, kieselrot);",
125,ornamenen,,ornament,,1932
126,ota,,,"907herzlich, ota.",
127,ouen,,out,,2098
128,ower,,owen,"302fluch, gar ein gesuch: wer hat owen taylor umgebracht, und womit.",
129,peopl,,people,"1906word is some people come in what they think must be vase, for they deflower it.",
130,perron,,perron,"1864melde zum beispiel jetzt, auf perron zwei, leichtes dämmern.",
131,pfliegen,,pflegen,"552und falls wendig, fast wie wasser, über vers und hügel, maß und tal, dass keiner einen riegel schöbe vor den quell, eine regel, strenge ruten, oder was man sonst so schindend pflog.",
132,phonetisch,,phonetisch,"1210sie rufen einander unverwandt an, neckisch, phonetisch und auch in größter not.",
133,pulend,,pulend,"1984wär ich ein uferschneck, or more sophisticated: wentletrap, wühlte mich das meer vor deine füße, doch du suchtest, pulend, stur, dem namen nach in meinem haus die weißen treppen nur, und dunkle winkel.",
134,quietsch,,quietsch,"461all das kommt plötzlich, trotzdem wahr, wenn wind geht, kannst dus in den angeln quietschen hören.",
135,raffen,,raffen,"1011wenn ich ruf: er wars, nicht ich, der log, rollt er mir grollend einen holzklotz auf die zunge. junge, brumm ich, du bist eine last, dann er: und du das letzte.",
136,räusper,,räusper,"1068darauf schweig ich, doch weiß ich, er bleibt dran, legt arge listen an, für jeden räusper, den er, und warum auch nicht, als einen anschlag auslegt, ein gedicht.",1068
137,ritterlichen,,ritterlich,,872
138,röck,,rock,"1557hätte lorelei was auf dem leib getragen, sagen wir nicht oben, etwa rolle oder wolle, sagen wir unten, sagen wir statt schuppen stoff, der fällt, in falten, aus dem auch geschichten sind, nicht nur röcke oder tuniken am rhein: wir hätten endlich eine schöne kongruenz.",
139,ruminaen,,ruminate,"953sei ein kind, lieber freund, und höre, was du hier nicht siehst: kau, genau, als wüchse über diese zeilen gras, eine art saftige güte, und grübeln wär erlaubt wie grasen oder lesen mit dem magen: ruminate, illuminate.",
140,rüsen,,gerüst,"2093im tod ein gerüst für entlaubung, x out, entglaubung.",
141,ruten,,rute,"544und falls wendig, fast wie wasser, über vers und hügel, maß und tal, dass keiner einen riegel schöbe vor den quell, eine regel, strenge ruten, oder was man sonst so schindend pflog.",
142,sagtest,,sagen,692aber sagtest du verlassen?,
143,schallen,,schallen,"837dachte grad, ist es gerecht, dass wir dich ständig übersehen, da schallte jemand: jot this down.",
144,scheints,,scheinen,"1879vase is a vase, und das gilt, scheints, für jedes wort, das tiefer ist als breit. bereit?",
145,schindend,,schinden,,551
146,schlang,,schlange,1502für meinen glimm stehen andere leute schlange.,
147,schlechen,,schlecht,"1583stattdessen eine nackte stimme und der rest: gute ratten, schlechte wörter, ein rastloses wundern, warum man, angesichts solcher riffe, noch nicht gesunken ist.",
148,schleffen,,schlaf,"359der löst bei manchen zungen, bei anderen großen schlaf aus, selten jedoch das fragliche rätsel.",
149,schlei,,schleier,"1144dass es ein spiel ist, geben sie immerhin zu - kuss auf den handschuh, gesicht hinterm schleier etc. im schlimmsten fall kann man beteuern: auf meinem mist wuchs das nicht.",
150,schleif,,schleife,,585
151,schluchz,,schluchzer,"2177zum beispiel lieblingsjaks und lieblingsnaks, schluchzer und juchzer.",
152,schluckauf,,schluckauf,"2232scheue also, wenn man dich nach liebesdingen fragt, nicht den einen, das ganze gastmahl verstimmenden schluckauf.",
153,schöben,,schieben,,535
154,schuppe,,schuppe,"1540hätte lorelei was auf dem leib getragen, sagen wir nicht oben, etwa rolle oder wolle, sagen wir unten, sagen wir statt schuppen stoff, der fällt, in falten, aus dem auch geschichten sind, nicht nur röcke oder tuniken am rhein: wir hätten endlich eine schöne kongruenz.",
155,schwaden,,schwade,"1464als wir trotz dicker schwaden einmal funken fingen, suchtest du den nächsten quell, um nach deiner faden art das feuer zu bezwingen.",
156,schwän,,schwan,,1610
157,schweig,,schweigen,,1050
158,schwell,,schwelle,,1833
159,seems,,seem,"2299it seems, you said, they never called the whole thing off.",
160,sense.,,sense,,1646
161,sichen,,gesicht,"1142dass es ein spiel ist, geben sie immerhin zu - kuss auf den handschuh, gesicht hinterm schleier etc. im schlimmsten fall kann man beteuern: auf meinem mist wuchs das nicht.",
162,sinnig,,sinnig,"1639vielleicht nicht sinnig, aber ohne märchen wäre lange sense. darauf ich: siehe der spechte drittes lid, wie es sich seitwärts vor die linse schiebt!",
163,smallest,,small,820dear smallest letter!,
164,som,,some,"1905word is some people come in what they think must be vase, for they deflower it.",
165,sommen,,sam,"265die männer hießen sam, and lord, how they could open clam.",
166,sophisticated,,sophisticated,"1968wär ich ein uferschneck, or more sophisticated: wentletrap, wühlte mich das meer vor deine füße, doch du suchtest, pulend, stur, dem namen nach in meinem haus die weißen treppen nur, und dunkle winkel.",
167,sporen,,sport,,478
168,stimmhaft,,stimmhaft,"2257wir wollten die entblößung unserer zähne trainieren, studieren das stimmhafte sehnen zum beispiel der zebras, weil alles zueinander anders sagt, mald so und mal zoo. zuletzt entdeckten wir, verzagt am zaun, ein echsennest.",
169,strahn,,strähne,"182liegt aber eine strähne im brief, gar eine lange, halte sie unverfänglich an die wange.",
170,striegeln,,striegeln,"510stell dir stattdessen vor, wir könntens wieder fliegen sehen, später striemenlos im stall, im herbst, in jedem fall before it fell: gestriegelt und lebendig.",
171,striemenlos,,striemenlos,"492stell dir stattdessen vor, wir könntens wieder fliegen sehen, später striemenlos im stall, im herbst, in jedem fall before it fell: gestriegelt und lebendig.",
172,suchtesen,,suchen,"1469als wir trotz dicker schwaden einmal funken fingen, suchtest du den nächsten quell, um nach deiner faden art das feuer zu bezwingen.	1982wär ich ein uferschneck, or more sophisticated: wentletrap, wühlte mich das meer vor deine füße, doch du suchtest, pulend, stur, dem namen nach in meinem haus die weißen treppen nur, und dunkle winkel.",
173,summenden,,summend,"1799wie ich nach langer reise obdach fand, am bahnhof eher ein unterstand, umgeben von summenden gleisen.",
174,sünd,,sünde,,1603
175,tak,,take,147stattdessen morgens zu berg (take a bet?),
176,thehen,,they,"2309it seems, you said, they never called the whole thing off.",
177,troß,,tross,"210als boss ein falscher freund, als kitchen man in bessies tross: ein loch, love, ist alles, was blieb.",
178,tunik,,tunika,,1559
179,umlaut,,umlaut,1098mit umlaut dagegen wären schlechte manieren gemeint.,
180,umständ,,umstand,"1348wir lassen sie im kaufhaus ausrufen: immer eher in als unter umständen, hinten mähne wie ein islandpferd (man soll nicht -pony sagen), vorne vorhang (sagen wir hier pony), dass es kracht. versteckt sich oft in der kabine, am liebsten der gläsernen - die kurzen dinger, die sie probiert, verhüllen kaum den bauch.",
181,umverklumpen,,umverklumpen,"1007in meiner kehle sitzt ein lump, der jedes lied zu einer lüge umverklumpt.",
182,unort,,unort,"2132und dies soll unser zeichen sein: xo, ein kuss und das loch, das er lässt in der hiesigen luft, an x-beliebiger stelle, wie exlaub und unort ein loch, daran wir unsere finger legen, uns erinnern, dass es gifte gibt, gegenworte, jenseits davon nichts.",
183,unverfänglich,,unverfänglich,"194liegt aber eine strähne im brief, gar eine lange, halte sie unverfänglich an die wange.",
184,unverfroren,,unverfroren,"814in letzter instanz kommt ein eagle geflogen und stiehlt uns, irgendwie unverfroren, die show.",
185,unverwandt,,unverwandt,"1205sie rufen einander unverwandt an, neckisch, phonetisch und auch in größter not.",
186,verhüllen,,verhüllen,"1398wir lassen sie im kaufhaus ausrufen: immer eher in als unter umständen, hinten mähne wie ein islandpferd (man soll nicht -pony sagen), vorne vorhang (sagen wir hier pony), dass es kracht. versteckt sich oft in der kabine, am liebsten der gläsernen - die kurzen dinger, die sie probiert, verhüllen kaum den bauch.",
187,verstimmend,,verstimmend,"2231scheue also, wenn man dich nach liebesdingen fragt, nicht den einen, das ganze gastmahl verstimmenden schluckauf.",
188,verzagen,,verzagen,"2282wir wollten die entblößung unserer zähne trainieren, studieren das stimmhafte sehnen zum beispiel der zebras, weil alles zueinander anders sagt, mald so und mal zoo. zuletzt entdeckten wir, verzagt am zaun, ein echsennest.",
189,vessel,,vessel,"1959you need a lover who, would write a vase a letter: dear word, you're not a vessel.",
190,watchehen,,watch,"757for instance island: i say geysers, you say eyes; they're watching us, you say, nay, i say, they're blinded like a hedgehog in the fog. zuhause das gleiche spiel.",
191,wentletrap,,wentletrap,"1970wär ich ein uferschneck, or more sophisticated: wentletrap, wühlte mich das meer vor deine füße, doch du suchtest, pulend, stur, dem namen nach in meinem haus die weißen treppen nur, und dunkle winkel.",
192,whaben,,what,,1909.1921
193,whole,,whole,"2308it seems, you said, they never called the whole thing off.",
194,willsen,,wollen,1494wie du willst.,
195,wit,,wit,"1928what a lack of depth, and wit.",
196,wört,,wort,"1584stattdessen eine nackte stimme und der rest: gute ratten, schlechte wörter, ein rastloses wundern, warum man, angesichts solcher riffe, noch nicht gesunken ist.",
197,writ,,write,"1947you need a lover who, would write a vase a letter: dear word, you're not a vessel.",
198,wüchse,,wachsen,"930sei ein kind, lieber freund, und höre, was du hier nicht siehst: kau, genau, als wüchse über diese zeilen gras, eine art saftige güte, und grübeln wär erlaubt wie grasen oder lesen mit dem magen: ruminate, illuminate.",
199,yandl,,yandl,"2166dinge gibts, die kann man nicht verwechseln (s. yandl).",
200,zuckrig,,zuckrig,"290von ihren anderen kooky künsten wollen wir lieber schweigen, oder summen, mit zuckrig vollem mund.",
201,zung,,zunge,"354der löst bei manchen zungen, bei anderen großen schlaf aus, selten jedoch das fragliche rätsel.",
